Aachen, St�dteregion;NW NW
Ahrweiler;RP RP
Aichach-Friedberg;BY BY
Alb-Donau-Kreis;BW BW
Altenburger Land;TH TH
Altenkirchen (Westerwald);RP RP
Altmarkkreis Salzwedel;ST ST
Alt�tting;BY BY
Alzey-Worms;RP RP
Amberg-Sulzbach;BY BY
Ammerland;NI NI
Anhalt-Bitterfeld;ST ST
Ansbach;BY BY
Aschaffenburg;BY BY
Augsburg;BY BY
Aurich;NI NI
Bad D�rkheim;RP RP
Bad Kissingen;BY BY
Bad Kreuznach;RP RP
Bad T�lz-Wolfratshausen;BY BY
Bamberg;BY BY
Barnim;BB BB
Bautzen;SN SN
Bayreuth;BY BY
Berchtesgadener Land;BY BY
Bergstra�e;HE HE
Bernkastel-Wittlich;RP RP
Biberach;BW BW
Birkenfeld;RP RP
B�blingen;BW BW
Bodenseekreis;BW BW
B�rde;ST ST
Borken;NW NW
Breisgau-Hochschwarzwald;BW BW
Burgenlandkreis;ST ST
Calw;BW BW
Celle;NI NI
Cham;BY BY
Cloppenburg;NI NI
Coburg;BY BY
Cochem-Zell;RP RP
Coesfeld;NW NW
Cuxhaven;NI NI
Dachau;BY BY
Dahme-Spreewald;BB BB
Darmstadt-Dieburg;HE HE
Deggendorf;BY BY
Diepholz;NI NI
Dillingen an der Donau;BY BY
Dingolfing-Landau;BY BY
Dithmarschen;SH SH
Donau-Ries;BY BY
Donnersbergkreis;RP RP
D�ren;NW NW
Ebersberg;BY BY
Eichsfeld;TH TH
Eichst�tt;BY BY
Eifelkreis Bitburg-Pr�m;RP RP
Elbe-Elster;BB BB
Emmendingen;BW BW
Emsland;NI NI
Ennepe-Ruhr-Kreis;NW NW
Enzkreis;BW BW
Erding;BY BY
Erlangen-H�chstadt;BY BY
Erzgebirgskreis;SN SN
Esslingen;BW BW
Euskirchen;NW NW
Forchheim;BY BY
Freising;BY BY
Freudenstadt;BW BW
Freyung-Grafenau;BY BY
Friesland;NI NI
Fulda;HE HE
F�rstenfeldbruck;BY BY
F�rth;BY BY
Garmisch-Partenkirchen;BY BY
Germersheim;RP RP
Gie�en;HE HE
Gifhorn;NI NI
G�ppingen;BW BW
G�rlitz;SN SN
Goslar;NI NI
Gotha;TH TH
G�ttingen;NI NI
Grafschaft Bentheim;NI NI
Greiz;TH TH
Gro�-Gerau;HE HE
G�nzburg;BY BY
G�tersloh;NW NW
Hameln-Pyrmont;NI NI
Hannover, Region;NI NI
Harburg;NI NI
Harz;ST ST
Ha�berge;BY BY
Havelland;BB BB
Heidekreis;NI NI
Heidenheim;BW BW
Heilbronn;BW BW
Heinsberg;NW NW
Helmstedt;NI NI
Herford;NW NW
Hersfeld-Rotenburg;HE HE
Herzogtum Lauenburg;SH SH
Hildburghausen;TH TH
Hildesheim;NI NI
Hochsauerlandkreis;NW NW
Hochtaunuskreis;HE HE
Hof;BY BY
Hohenlohekreis;BW BW
Holzminden;NI NI
H�xter;NW NW
Ilm-Kreis;TH TH
Jerichower Land;ST ST
Kaiserslautern;RP RP
Karlsruhe;BW BW
Kassel;HE HE
Kelheim;BY BY
Kitzingen;BY BY
Kleve;NW NW
Konstanz;BW BW
Kronach;BY BY
Kulmbach;BY BY
Kusel;RP RP
Kyffh�userkreis;TH TH
Lahn-Dill-Kreis;HE HE
Landsberg am Lech;BY BY
Landshut;BY BY
Leer;NI NI
Leipzig;SN SN
Lichtenfels;BY BY
Limburg-Weilburg;HE HE
Lindau (Bodensee);BY BY
Lippe;NW NW
L�rrach;BW BW
L�chow-Dannenberg;NI NI
Ludwigsburg;BW BW
Ludwigslust-Parchim;MV MV
L�neburg;NI NI
Main-Kinzig-Kreis;HE HE
Main-Spessart;BY BY
Main-Tauber-Kreis;BW BW
Main-Taunus-Kreis;HE HE
Mainz-Bingen;RP RP
Mansfeld-S�dharz;ST ST
Marburg-Biedenkopf;HE HE
M�rkischer Kreis;NW NW
M�rkisch-Oderland;BB BB
Mayen-Koblenz;RP RP
Mecklenburgische Seenplatte;MV MV
Mei�en;SN SN
Merzig-Wadern;SL SL
Mettmann;NW NW
Miesbach;BY BY
Miltenberg;BY BY
Minden-L�bbecke;NW NW
Mittelsachsen;SN SN
M�hldorf am Inn;BY BY
M�nchen;BY BY
Neckar-Odenwald-Kreis;BW BW
Neu-Ulm;BY BY
Neuburg-Schrobenhausen;BY BY
Neumarkt in der Oberpfalz;BY BY
Neunkirchen;SL SL
Neustadt an der Aisch-Bad Windsheim;BY BY
Neustadt an der Waldnaab;BY BY
Neuwied;RP RP
Nienburg/Weser;NI NI
Nordfriesland;SH SH
Nordhausen;TH TH
Nordsachsen;SN SN
Nordwestmecklenburg;MV MV
Northeim;NI NI
N�rnberger Land;BY BY
Oberallg�u;BY BY
Oberbergischer Kreis;NW NW
Oberhavel;BB BB
Oberspreewald-Lausitz;BB BB
Odenwaldkreis;HE HE
Oder-Spree;BB BB
Offenbach;HE HE
Oldenburg;NI NI
Olpe;NW NW
Ortenaukreis;BW BW
Osnabr�ck;NI NI
Ostalbkreis;BW BW
Ostallg�u;BY BY
Osterholz;NI NI
Ostholstein;SH SH
Ostprignitz-Ruppin;BB BB
Paderborn;NW NW
Passau;BY BY
Peine;NI NI
Pfaffenhofen an der Ilm;BY BY
Pinneberg;SH SH
Pl�n;SH SH
Potsdam-Mittelmark;BB BB
Prignitz;BB BB
Rastatt;BW BW
Ravensburg;BW BW
Recklinghausen;NW NW
Regen;BY BY
Regensburg;BY BY
Rems-Murr-Kreis;BW BW
Rendsburg-Eckernf�rde;SH SH
Reutlingen;BW BW
Rhein-Erft-Kreis;NW NW
Rheingau-Taunus-Kreis;HE HE
Rhein-Hunsr�ck-Kreis;RP RP
Rheinisch-Bergischer Kreis;NW NW
Rhein-Kreis Neuss;NW NW
Rhein-Lahn-Kreis;RP RP
Rhein-Neckar-Kreis;BW BW
Rhein-Pfalz-Kreis;RP RP
Rhein-Sieg-Kreis;NW NW
Rh�n-Grabfeld;BY BY
Rosenheim;BY BY
Rostock;MV MV
Rotenburg (W�mme);NI NI
Roth;BY BY
Rottal-Inn;BY BY
Rottweil;BW BW
Saale-Holzland-Kreis;TH TH
Saalekreis;ST ST
Saale-Orla-Kreis;TH TH
Saalfeld-Rudolstadt;TH TH
Saarbr�cken, Regionalverband;SL SL
Saarlouis;SL SL
Saarpfalz-Kreis;SL SL
S�chsische Schweiz-Osterzgebirge;SN SN
Salzlandkreis;ST ST
Schaumburg;NI NI
Schleswig-Flensburg;SH SH
Schmalkalden-Meiningen;TH TH
Schwalm-Eder-Kreis;HE HE
Schwandorf;BY BY
Schwarzwald-Baar-Kreis;BW BW
Schw�bisch Hall;BW BW
Schweinfurt;BY BY
Segeberg;SH SH
Siegen-Wittgenstein;NW NW
Sigmaringen;BW BW
Soest;NW NW
S�mmerda;TH TH
Sonneberg;TH TH
Spree-Nei�e;BB BB
St. Wendel;SL SL
Stade;NI NI
Starnberg;BY BY
Steinburg;SH SH
Steinfurt;NW NW
Stendal;ST ST
Stormarn;SH SH
Straubing-Bogen;BY BY
S�dliche Weinstra�e;RP RP
S�dwestpfalz;RP RP
Teltow-Fl�ming;BB BB
Tirschenreuth;BY BY
Traunstein;BY BY
Trier-Saarburg;RP RP
T�bingen;BW BW
Tuttlingen;BW BW
Uckermark;BB BB
Uelzen;NI NI
Unna;NW NW
Unstrut-Hainich-Kreis;TH TH
Unterallg�u;BY BY
Vechta;NI NI
Verden;NI NI
Viersen;NW NW
Vogelsbergkreis;HE HE
Vogtlandkreis;SN SN
Vorpommern-Greifswald;MV MV
Vorpommern-R�gen;MV MV
Vulkaneifel;RP RP
Waldeck-Frankenberg;HE HE
Waldshut;BW BW
Warendorf;NW NW
Wartburgkreis;TH TH
Weilheim-Schongau;BY BY
Weimarer Land;TH TH
Wei�enburg-Gunzenhausen;BY BY
Werra-Mei�ner-Kreis;HE HE
Wesel;NW NW
Wesermarsch;NI NI
Westerwaldkreis;RP RP
Wetteraukreis;HE HE
Wittenberg;ST ST
Wittmund;NI NI
Wolfenb�ttel;NI NI
Wunsiedel im Fichtelgebirge;BY BY
W�rzburg;BY BY
Zollernalbkreis;BW BW
Zwickau;SN SN
